nume_actiune, timestamp
show-users,2021-05-26 18:01:44
show-users,2021-05-26 18:02:47
show-users,2021-05-26 18:02:47
show-users,2021-05-26 18:02:48
show-items,2021-05-26 18:02:55
show-items,2021-05-26 18:03:38
show-items,2021-05-26 18:04:30
win-auction,2021-05-26 18:04:39
show-users,2021-05-26 18:04:44
show-items,2021-05-26 18:05:20
win-auction,2021-05-26 18:05:38
add-item,2021-05-26 18:05:50
show-items,2021-05-26 18:05:56
show-auctionInfo,2021-05-26 18:11:14
show-items,2021-05-26 18:11:23
show-totalMoneySpendByUser,2021-05-26 18:12:47
show-totalMoneyEarnedByUser,2021-05-26 18:13:41
show-totalMoneySpendByUser,2021-05-26 18:19:55
show-totalMoneyEarnedByUser,2021-05-26 18:20:01
show-totalMoneyEarnedByUser,2021-05-26 18:20:49
show-totalMoneySpendByUser,2021-05-26 18:20:54
show-whatItemsUserBought,2021-05-26 18:20:59
show-totalMoneySpendInCategoryOfItems,2021-05-26 18:21:06
show-averageMoneySpendInCategoryOfItems,2021-05-26 18:21:11
show-users,2021-05-26 18:26:13
add-user,2021-05-26 18:26:34
show-users,2021-05-26 18:26:36
add-user,2021-05-26 18:27:29
show-users,2021-05-26 18:27:30
show-users,2021-05-26 18:28:07
add-item,2021-05-26 18:29:41
show-auctionInfo,2021-05-26 18:30:00
show-totalMoneySpendByUser,2021-05-26 18:30:22
show-totalMoneyEarnedByUser,2021-05-26 18:30:24
show-items,2021-05-26 18:30:28
show-auctionInfo,2021-05-26 18:30:35
show-users,2021-05-26 18:30:46
show-items,2021-05-26 18:30:50
show-users,2021-05-26 18:37:48
add-item,2021-05-26 18:38:47
show-items,2021-05-26 18:38:52
win-auction,2021-05-26 18:40:02
show-items,2021-05-26 18:40:07
show-items,2021-05-26 18:40:24
show-totalMoneySpendByUser,2021-05-26 18:40:37
show-whatItemsUserBought,2021-05-26 18:40:48
show-auctionInfo,2021-05-26 18:41:02
